Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
21-02-12,21.05,21.15,20.5,21.05,20.93861842,45209,137,946614,34501,76.31,0.65,0
17-02-12,20.55,21.5,20.55,21.05,21.14645127,69081,174,1460818,51030,73.87,0.95,0.5
16-02-12,21,21.5,20.9,21.05,21.12004497,65817,158,1390058,47056,71.5,0.6,0.05
15-02-12,21.3,21.6,20.95,21.15,21.27812978,84910,173,1806726,55688,65.58,0.65,-0.15
14-02-12,20.95,21.25,20.95,21.15,21.09074109,26515,100,559221,18196,68.63,0.3,0.2
13-02-12,21.5,21.75,20.8,21.15,21.19599729,90139,192,1910586,58567,64.97,0.95,-0.35
10-02-12,21.3,22.25,20.9,21.5,21.36229707,89192,307,1905346,45984,51.56,1.35,0.2
09-02-12,21.15,21.35,20.8,21.25,21.04829701,61950,191,1303942,44486,71.81,0.55,0.1
08-02-12,21.65,22.35,21.3,21.3,21.70722485,66119,196,1435260,38137,57.68,1.05,-0.35
07-02-12,21.7,23.2,21.1,22.15,22.11351502,89715,372,1983914,46613,51.96,2.1,0.45
06-02-12,21.4,21.65,20.95,21.55,21.21729259,37438,143,794333,24120,64.43,0.7,0.15
03-02-12,22.3,22.3,21,21.35,21.4239457,34620,178,741697,23476,67.81,1.3,-0.95
02-02-12,22.6,22.9,21.8,21.95,22.31710262,22365,117,499122,13112,58.63,1.1,-0.65
01-02-12,22.5,23,22.1,22.25,22.50087574,21125,112,475331,14568,68.96,0.9,-0.25
31-01-12,22.2,23.2,22.2,22.8,22.82595012,37811,185,863072,27570,72.92,1,0.6
30-01-12,21.25,23.2,20.85,22.1,22.46450096,56579,233,1271019,39760,70.27,2.35,0.85
27-01-12,21.35,22.4,20.85,21.35,21.52846371,42440,158,913668,26738,63,1.55,0
25-01-12,20.75,22.3,20.75,21.4,21.44908352,49483,168,1061365,34821,70.37,1.55,0.65
24-01-12,20.8,21.2,20.7,20.8,20.86002112,22732,67,474190,20342,89.49,0.5,0
23-01-12,21.5,21.65,20.8,20.9,21.11983527,14812,51,312827,12052,81.37,0.85,-0.6
20-01-12,20.4,21.85,20.4,21.5,21.2513738,40581,139,862402,36399,89.69,1.45,1.1
19-01-12,21.1,21.1,20.65,20.9,20.88009126,14903,62,311176,11699,78.5,0.45,-0.2
18-01-12,20.75,21.15,20.2,20.7,20.83309643,13367,62,278476,9265,69.31,0.95,-0.05
17-01-12,20.55,21.3,20.5,20.6,20.88019086,51557,147,1076520,46650,90.48,0.8,0.05
16-01-12,21.5,21.5,20.8,21.05,21.11397355,26085,76,550758,22819,87.48,0.7,-0.45
13-01-12,21.2,21.8,21.15,21.25,21.24869221,54481,123,1157650,41648,76.44,0.65,0.05
12-01-12,22.55,22.55,21.4,21.55,21.822877,29934,118,653246,24781,82.79,1.15,-1
11-01-12,23.5,23.5,21.35,22.35,22.20223241,53216,222,1181514,37373,70.23,2.15,-1.15
10-01-12,20.55,22.7,20.55,21.65,22.12056396,80928,229,1790173,33475,41.36,2.15,1.1
09-01-12,20.95,21.45,20.5,20.65,20.82390346,35384,129,736833,24801,70.09,0.95,-0.3
07-01-12,20.1,20.9,20.1,20.6,20.71476286,4491,22,93030,3391,75.51,0.8,0.5
06-01-12,19.85,20.9,19.85,20.45,20.6429656,19099,86,394260,12745,66.73,1.05,0.6
05-01-12,21.5,21.5,20.6,20.85,21.0940887,75195,142,1586170,64182,85.35,0.9,-0.65
04-01-12,20.5,20.85,19.85,20.85,20.61497675,36777,177,758157,22474,61.11,1,0.35
03-01-12,19.75,20,18.7,19.9,19.60996079,29074,112,570140,24983,85.93,1.3,0.15
02-01-12,20.05,20.05,19,19.4,19.46456082,19343,89,376503,16296,84.25,1.05,-0.65
30-12-11,19.65,20,19,19.45,19.56181736,17762,110,347457,13575,76.43,1,-0.2
29-12-11,20,20.35,19.55,19.65,19.85703945,11052,57,219460,9857,89.19,0.8,-0.35
28-12-11,19.9,20.3,19.75,19.95,19.99995935,49195,60,983898,48524,98.64,0.55,0.05
27-12-11,20,20.1,19.8,19.85,19.9643957,13313,55,265786,12023,90.31,0.3,-0.15
26-12-11,20,20.75,19.75,20.2,20.25137217,19859,106,402172,13145,66.19,1,0.2
23-12-11,19.8,20.5,19.7,20,20.04509617,19913,105,399158,15526,77.97,0.8,0.2
22-12-11,20.6,20.7,20,20.35,20.34627585,15762,77,320698,11107,70.47,0.7,-0.25
21-12-11,20.75,21.35,20.1,20.6,20.56536453,20684,104,425374,13452,65.04,1.25,-0.15
20-12-11,22.45,22.45,20.45,20.45,20.86391423,75739,151,1580212,67209,88.74,2,-2
19-12-11,21.3,22.1,21,21.5,21.77989009,76062,318,1656622,64007,84.15,1.1,0.2
16-12-11,19.95,21.05,19.5,21.05,20.76667482,98112,313,2037460,72429,73.82,1.55,1.1
15-12-11,21.1,21.1,20.05,20.05,20.18850397,31002,108,625884,24890,80.29,1.05,-1.05
14-12-11,20.1,21.45,20.1,21.1,21.21539644,107973,280,2290690,60360,55.9,1.35,1
13-12-11,20.35,20.6,19.65,20.45,20.22056411,38397,117,776409,25362,66.05,0.95,0.1
12-12-11,19.9,20.25,19.9,20.2,20.17383692,46837,43,944882,45126,96.35,0.35,0.3
09-12-11,20.25,20.35,20,20.2,20.20052913,38932,66,786447,36557,93.9,0.35,-0.05
08-12-11,20,20.6,19.85,20.4,20.28106243,42318,119,858254,33838,79.96,0.75,0.4
07-12-11,20.35,20.6,19.65,20.3,20.15443126,23007,104,463693,19194,83.43,0.95,-0.05
05-12-11,20.15,20.45,19.7,19.9,19.90624751,12565,67,250122,8731,69.49,0.75,-0.25
02-12-11,19.7,20.4,19.7,20,20.01571601,41550,89,831653,30542,73.51,0.7,0.3
01-12-11,20.95,20.95,19.55,19.75,20.10964121,54879,179,1103597,41864,76,1.4,-1.2
30-11-11,20.75,21,20.05,20.3,20.37448449,44616,108,909028,26337,59.03,0.95,-0.45
29-11-11,20.5,20.5,20.1,20.5,20.45637844,46422,297,949626,38426,82.78,0.4,0
28-11-11,19.4,19.55,18.8,19.55,19.36930659,11768,68,227938,11202,95.19,0.75,0.15
25-11-11,19,19.4,18.35,18.65,18.78781119,50653,106,951659,43693,86.26,1.05,-0.35
24-11-11,19,19,18.25,18.8,18.63345196,23323,96,434588,17394,74.58,0.75,-0.2
23-11-11,19.95,19.95,18.35,18.8,18.67637054,45858,180,856461,31169,67.97,1.6,-1.15
22-11-11,19.25,19.65,18.5,19.3,19.21112988,25463,130,489173,15216,59.76,1.15,0.05
21-11-11,19.25,19.55,18.55,18.8,19.04926916,101869,178,1940530,85790,84.22,1,-0.45
18-11-11,20.15,20.4,19.15,19.15,19.45957815,60116,215,1169832,56476,93.95,1.25,-1
17-11-11,20.05,20.65,19.75,20.15,20.10795331,45918,116,923317,41195,89.71,0.9,0.1
16-11-11,20.6,20.6,19.75,20,19.99075532,43809,158,875775,36748,83.88,0.85,-0.6
15-11-11,21.75,21.75,20.75,20.75,20.99828555,46079,162,967580,41101,89.2,1,-1
14-11-11,22.4,22.85,21.6,21.8,22.10101902,37389,133,826335,30859,82.53,1.25,-0.6
11-11-11,22.45,23.2,22.05,22.4,22.31144301,52626,112,1174162,45748,86.93,1.15,-0.05
09-11-11,22.15,23.2,21.6,22.2,22.44168329,60643,250,1360931,43909,72.41,1.6,0.05
08-11-11,22.5,22.7,22.05,22.15,22.20065797,42859,123,951498,36391,84.91,0.65,-0.35
04-11-11,23.65,23.65,22.25,22.4,22.83160111,66485,213,1517959,40614,61.09,1.4,-1.25
03-11-11,24.8,24.8,23.3,23.3,23.50633477,58171,273,1367387,41188,70.81,1.5,-1.5
02-11-11,26,26.35,24.25,24.5,25.2079007,215829,699,5440596,168533,78.09,2.1,-1.5
01-11-11,24.15,25.5,24.15,25.5,25.07733901,164044,606,4113787,110815,67.55,1.35,1.35
31-10-11,21.9,23.2,21.5,23.2,22.8451727,95022,357,2170794,90287,95.02,1.7,1.3
28-10-11,20.8,21.2,20.25,21.1,20.86242683,68509,180,1429264,60959,88.98,0.95,0.3
26-10-11,19.75,20.75,19.75,20.55,20.52239668,45029,154,924103,40497,89.94,1,0.8
25-10-11,19.75,19.9,19.5,19.75,19.72771315,35503,70,700393,31611,89.04,0.4,0
24-10-11,19.65,20.1,19.65,19.8,19.8725455,30607,113,608239,21373,69.83,0.45,0.15
21-10-11,19.5,20.2,19.25,19.7,19.92273681,26688,99,531698,17064,63.94,0.95,0.2
20-10-11,19.4,19.65,19.4,19.6,19.55132092,18472,53,361152,14942,80.89,0.25,0.2
19-10-11,19.8,19.8,19.35,19.65,19.53813054,31838,115,622055,21034,66.07,0.45,-0.15
18-10-11,19.6,19.95,19.15,19.65,19.67446992,37164,121,731182,32426,87.25,0.8,0.05
17-10-11,20,20,19.05,19.4,19.4390783,75556,174,1468739,64455,85.31,0.95,-0.6
14-10-11,20.25,20.35,19.7,20,20.0903414,31547,99,633790,16141,51.16,0.65,-0.25
13-10-11,20.35,20.8,19.7,19.85,20.19952614,37564,133,758775,29609,78.82,1.1,-0.5
12-10-11,20,20.25,19.6,20,19.98133176,15213,76,303976,11471,75.4,0.65,0
11-10-11,20,20.6,19.25,19.95,19.96615406,28482,162,568676,17259,60.6,1.35,-0.05
10-10-11,19.4,20.2,19.2,20.1,19.61457586,47366,132,929064,36930,77.97,1,0.7
07-10-11,19.7,20.45,19.4,19.6,19.70527769,118783,193,2340652,103228,86.9,1.05,-0.1
05-10-11,19.8,20,19.45,19.7,19.74235105,24840,113,490400,18786,75.63,0.55,-0.1
04-10-11,20.85,20.85,19.4,19.8,20.09294716,77926,169,1565763,63735,81.79,1.45,-1.05
03-10-11,20.6,20.9,20.2,20.6,20.65670934,48507,96,1001995,46431,95.72,0.7,0
30-09-11,20.6,21.9,20.6,21.1,21.40833333,51960,139,1112377,36284,69.83,1.3,0.5
29-09-11,21,21.85,20.6,21.2,21.20646961,38364,140,813565,30550,79.63,1.25,0.2
28-09-11,21.1,21.5,21.05,21.4,21.34212834,53591,75,1143746,52970,98.84,0.45,0.3
27-09-11,21.35,21.8,21.05,21.25,21.42912228,30602,129,655774,28765,94,0.75,-0.1
26-09-11,21.05,21.75,20.6,21.2,21.1008178,38029,188,802443,28999,76.25,1.15,0.15
23-09-11,22.1,23,21.5,21.65,21.89556775,35535,181,778059,30640,86.22,1.5,-0.45
22-09-11,23,23.05,22.5,22.65,22.7047987,24590,156,558311,19667,79.98,0.55,-0.35
21-09-11,23.4,23.8,22.6,23.45,23.20058041,32391,171,751490,27683,85.47,1.2,0.05
20-09-11,22.6,23.25,22.6,22.85,22.89306607,46496,99,1064436,41196,88.6,0.65,0.25
19-09-11,23,23.25,22.35,22.6,22.62045083,23246,129,525835,19414,83.52,0.9,-0.4
16-09-11,23.6,23.95,23.1,23.15,23.3800601,28285,177,661305,24697,87.31,0.85,-0.45
15-09-11,24.25,24.25,23.25,23.7,23.66867363,28235,138,668285,23172,82.07,1,-0.55
14-09-11,23.9,24.35,23.55,23.8,24.00024047,33268,119,798440,25847,77.69,0.8,-0.1
13-09-11,23.8,24.35,23.8,23.95,24.04411052,24756,91,595236,16580,66.97,0.55,0.15
12-09-11,25,25,23,23.95,24.0340595,69819,129,1678034,62340,89.29,2,-1.05
09-09-11,25.05,25.25,24.05,24.15,24.52900766,52986,239,1299694,38227,72.15,1.2,-0.9
08-09-11,26.3,27,24.5,25.4,25.59983451,135354,351,3465040,107333,79.3,2.5,-0.9
07-09-11,24.5,25.85,24.4,25.85,25.22330768,108608,394,2739453,93603,86.18,1.45,1.35
06-09-11,24.2,24.9,24.2,24.65,24.63399357,48215,260,1187728,40145,83.26,0.7,0.45
05-09-11,24.95,24.95,24.35,24.75,24.7613371,44963,238,1113344,37168,82.66,0.6,-0.2
02-09-11,25,25.2,23.9,24.95,24.80298954,76199,295,1889963,54514,71.54,1.3,-0.05
30-08-11,24.9,25.05,23.5,25.05,24.7111529,90927,389,2246911,68930,75.81,1.55,0.15
29-08-11,23,24.85,23,23.9,23.97842438,54645,209,1310301,42418,77.62,1.85,0.9
26-08-11,24.95,24.95,23.7,23.9,23.93645884,49464,162,1183993,43040,87.01,1.25,-1.05
25-08-11,25.15,25.15,23.7,24,24.0825569,72447,262,1744709,60324,83.27,1.45,-1.15
24-08-11,25.05,25.05,24,24.9,24.97942821,240718,739,6012998,138280,57.44,1.05,-0.15
23-08-11,23.2,23.9,23.2,23.9,23.81929559,44974,165,1071249,38012,84.52,0.7,0.7
22-08-11,22,22.8,22,22.8,22.50312806,26534,141,597098,21464,80.89,0.8,0.8
19-08-11,21.9,22.1,20.15,21.75,21.26478555,139917,399,2975305,106235,75.93,1.95,-0.15
18-08-11,21.6,22.35,20.95,21.05,21.56626754,116505,280,2512578,90760,77.9,1.4,-0.55
17-08-11,22.25,22.25,21.05,22,21.72305192,52295,205,1136007,40842,78.1,1.2,-0.25
16-08-11,23.8,24,22,22.1,22.22702577,98839,291,2196897,67845,68.64,2,-1.7
12-08-11,24.5,24.85,23,23.15,23.79964308,41466,195,986876,27146,65.47,1.85,-1.35
11-08-11,24.5,24.85,23.6,23.9,24.28260726,75773,356,1839966,47844,63.14,1.25,-0.6
10-08-11,24,24.15,23,23.85,23.64854459,80252,320,1897843,49416,61.58,1.15,-0.15
09-08-11,22.85,24.35,22.85,23,22.97759574,224734,519,5163847,120905,53.8,1.5,0.15
08-08-11,24.05,24.05,24.05,24.05,24.04999695,49223,64,1183813,47608,96.72,0,0
05-08-11,25.3,26.25,25.3,25.3,25.5447643,46097,161,1177537,30568,66.31,0.95,0
04-08-11,26,26.95,25.2,26.6,26.19309973,161559,518,4231731,136858,84.71,1.75,0.6
03-08-11,25.45,26.25,25.15,25.7,25.79618819,158455,612,4087535,110696,69.86,1.1,0.25
02-08-11,25,25.4,24.75,25.2,25.05892942,107213,298,2686643,97804,91.22,0.65,0.2
01-08-11,25.5,25.75,24.1,24.95,24.73117886,43754,172,1082088,35732,81.67,1.65,-0.55
29-07-11,25.75,26.35,24.7,24.95,25.48621516,52195,225,1330253,37461,71.77,1.65,-0.8
28-07-11,27.6,27.6,25.75,25.95,26.80174944,203379,637,5450913,156451,76.93,1.85,-1.65
27-07-11,25.25,26.5,25,26.5,25.99156046,273356,487,7104949,141134,51.63,1.5,1.25
26-07-11,25.4,25.45,24.8,25.25,25.05496552,85399,314,2139669,78155,91.52,0.65,-0.15
25-07-11,25.9,25.9,24.75,25,25.02517934,69144,346,1730341,63681,92.1,1.15,-0.9
22-07-11,24.25,25.4,23.5,25.15,24.55370047,139496,446,3425143,104305,74.77,1.9,0.9
21-07-11,24.9,24.9,24.25,24.45,24.46321388,39485,154,965930,31833,80.62,0.65,-0.45
20-07-11,24.8,24.8,24.15,24.6,24.56324603,69870,184,1716234,60921,87.19,0.65,-0.2
19-07-11,24.75,24.95,24.2,24.55,24.63652713,58384,170,1438379,49748,85.21,0.75,-0.2
18-07-11,24.55,25.25,24.55,24.8,24.89020837,76545,325,1905221,61615,80.5,0.7,0.25
15-07-11,23.6,25,23.6,24.55,24.62637403,26928,129,663139,19602,72.79,1.4,0.95
14-07-11,25,25.4,24.55,24.8,24.91616188,68346,246,1702920,50772,74.29,0.85,-0.2
13-07-11,25,25,24.15,24.55,24.66423938,61660,227,1520797,54522,88.42,0.85,-0.45
12-07-11,24.5,25.7,24.15,24.55,24.92872333,306594,923,7642997,206540,67.37,1.55,0.05
11-07-11,25.8,25.8,23.9,24.55,24.52217865,143043,522,3507726,106484,74.44,1.9,-1.25
08-07-11,26.45,26.45,24.55,24.95,24.92674941,273950,1086,6828683,195906,71.51,1.9,-1.5
07-07-11,25.8,25.8,25,25.8,25.73780621,671038,1662,17271046,423882,63.17,0.8,0
06-07-11,24.6,24.6,24.6,24.6,24.59999773,88277,206,2171614,88264,99.99,0,0
05-07-11,23.45,23.45,21.75,23.45,23.1036863,821420,1639,18977830,372772,45.38,1.7,0
04-07-11,22.35,22.35,22.35,22.35,22.34997329,20593,84,460253,20593,100,0,0
01-07-11,21.3,21.3,21.3,21.3,21.29998814,25291,83,538698,25291,100,0,0
30-06-11,20.3,20.3,19.3,20.3,20.29440361,357927,379,7263915,218965,61.18,1,0
29-06-11,19.35,19.35,19.35,19.35,19.34997807,13678,56,264669,13678,100,0,0
28-06-11,18.45,18.45,18.45,18.45,18.44996642,8934,42,164832,8934,100,0,0
27-06-11,16.8,17.6,16.55,17.6,17.39415003,106462,151,1851816,77913,73.18,1.05,0.8
24-06-11,16.55,17,16.5,16.8,16.85173693,56076,157,944978,48914,87.23,0.5,0.25
23-06-11,16.65,17.2,16.4,16.55,16.62421454,35648,127,592620,31857,89.37,0.8,-0.1
22-06-11,17.1,17.5,16.9,17,17.05440373,37332,110,636675,34907,93.5,0.6,-0.1
21-06-11,17.8,17.95,16.65,17.1,17.38153346,24585,129,427325,20343,82.75,1.3,-0.7
20-06-11,18,18,17.25,17.4,17.62085308,34393,133,606034,29944,87.06,0.75,-0.6
17-06-11,18.7,18.7,17.8,18,18.13422902,56195,136,1019053,52950,94.23,0.9,-0.7
16-06-11,18.4,18.8,18.05,18.15,18.26148445,40446,121,738604,40446,100,0.75,-0.25
15-06-11,18.4,18.8,18.4,18.6,18.58860425,13233,77,245983,13233,100,0.4,0.2
14-06-11,18.85,18.85,18.35,18.35,18.51038623,18823,82,348421,18823,100,0.5,-0.5
13-06-11,18.8,18.8,18.15,18.35,18.41998812,43756,154,805985,43756,100,0.65,-0.45
10-06-11,19,19.25,18.7,18.8,18.94975634,23804,90,451080,23804,100,0.55,-0.2
09-06-11,19.2,19.5,18.85,19,19.09338415,36473,68,696393,36473,100,0.65,-0.2
08-06-11,19,19.6,18.8,19.5,19.19876446,20396,71,391578,20396,100,0.8,0.5
07-06-11,19.35,19.5,18.85,18.95,19.04732704,26581,132,506297,26581,100,0.65,-0.4
06-06-11,19.6,19.6,19.05,19.3,19.30901781,10446,75,201702,10446,100,0.55,-0.3
03-06-11,20,20,19.65,19.7,19.77242411,23390,92,462477,23390,100,0.35,-0.3
02-06-11,19.8,20,19.6,19.75,19.71938993,9376,59,184889,9376,100,0.4,-0.05
01-06-11,20.1,20.2,19.5,19.95,19.85163295,36376,129,722123,36376,100,0.7,-0.15
31-05-11,19.8,20.15,19.55,19.85,19.75038648,18112,100,357719,18112,100,0.6,0.05
30-05-11,20.4,20.4,19.8,19.9,19.98093123,28371,91,566879,28371,100,0.6,-0.5
27-05-11,20.25,20.35,20.05,20.2,20.23694576,29703,103,601098,29703,100,0.3,-0.05
26-05-11,20.4,20.45,20.2,20.25,20.27358435,16971,47,344063,16971,100,0.25,-0.15
25-05-11,20.3,20.5,20.25,20.3,20.29597383,39740,79,806562,39740,100,0.25,0
24-05-11,20.8,20.8,20.15,20.3,20.32761252,34727,69,705917,34727,100,0.65,-0.5
23-05-11,20.35,20.4,20.15,20.25,20.21105428,35389,83,715249,35389,100,0.25,-0.1
20-05-11,20.1,20.75,20.1,20.35,20.3101139,37928,98,770322,37928,100,0.65,0.25
19-05-11,20.55,21,20.55,20.85,20.71104751,30749,64,636844,30749,100,0.45,0.3
18-05-11,21,21.25,20.7,20.75,20.86794012,20574,76,429337,20574,100,0.55,-0.25
17-05-11,21.45,21.5,21.05,21.05,21.15952403,21934,75,464113,21934,100,0.45,-0.4
16-05-11,21.15,22,21.15,21.35,21.55608483,45975,99,991041,45975,100,0.85,0.2
13-05-11,21,21.9,20.9,21.3,21.28890074,31876,86,678605,31876,100,1,0.3
12-05-11,21.85,22.2,21.15,21.15,21.41792099,50957,164,1091393,50957,100,1.05,-0.7
11-05-11,20.55,21.85,20.55,21.85,21.64547094,67089,179,1452173,67089,100,1.3,1.3
10-05-11,21.15,21.15,20.55,20.85,20.841553,75956,146,1583041,75956,100,0.6,-0.3
09-05-11,20.35,21.2,20.35,20.85,20.90904912,50038,120,1046247,50038,100,0.85,0.5
06-05-11,20.35,21.15,20.35,20.8,20.81274978,51546,178,1072814,51546,100,0.8,0.45
05-05-11,21.25,21.45,20.75,20.8,20.97426897,61249,152,1284653,61249,100,0.7,-0.45
04-05-11,21.65,21.95,20.75,21.55,21.11219291,92644,215,1955918,92644,100,1.2,-0.1
03-05-11,22.35,22.35,21.2,21.8,21.64763966,70689,204,1530250,70689,100,1.15,-0.55
02-05-11,22.75,23,21.6,21.9,21.96170675,69020,199,1515797,69020,100,1.4,-0.85
29-04-11,22.8,23.6,22.3,22.65,23.01011063,86147,329,1982252,86147,100,1.3,-0.15
28-04-11,22.45,23.9,22.3,22.5,23.11649993,177425,787,4101445,73197,41.26,1.6,0.05
27-04-11,23.25,23.25,22,22.2,22.49488664,113135,441,2544959,88250,78,1.25,-1.05
26-04-11,23.8,23.8,22.6,23.3,23.09946303,113228,591,2615506,64251,56.74,1.2,-0.5
25-04-11,25,26.1,23.75,23.9,24.51973743,168183,676,4123803,101610,60.42,2.35,-1.1
21-04-11,24.6,26.5,24.25,24.95,25.26399442,517867,2063,13083389,277299,53.55,2.25,0.35
20-04-11,23.1,24.5,22.9,24.1,23.80836262,342835,1423,8162340,145684,42.49,1.6,1
19-04-11,24.65,24.95,22.55,22.85,23.74488744,610946,2474,14506844,291306,47.68,2.4,-1.8
18-04-11,21,23.25,20.9,23.25,22.72678199,1668715,4680,37924522,431890,25.88,2.35,2.25
15-04-11,19.05,19.85,18.65,19.4,19.19844944,71716,265,1376836,39288,54.78,1.2,0.35
13-04-11,18.2,19.15,18.1,19.05,18.90624068,50299,217,950965,29614,58.88,1.05,0.85
11-04-11,19.1,19.1,18.1,18.5,18.62148689,50952,183,948802,38418,75.4,1,-0.6
08-04-11,20.3,20.5,18.8,19.15,19.64019644,89799,318,1763670,68161,75.9,1.7,-1.15
07-04-11,20.5,20.75,19.9,20,20.17682938,113454,347,2289142,80367,70.84,0.85,-0.5
06-04-11,19,21.45,18.9,20.15,20.35382609,170971,613,3479914,120837,70.68,2.55,1.15
05-04-11,19.35,19.85,18.75,18.85,19.22010851,74645,270,1434685,57254,76.7,1.1,-0.5
04-04-11,18.15,19.9,18.15,19.35,19.01403856,152651,546,2902512,92256,60.44,1.75,1.2
01-04-11,18.05,18.4,17.8,18,18.10182001,71813,184,1299946,62225,86.65,0.6,-0.05
31-03-11,18.35,18.45,17.85,18.05,18.18257283,38067,211,692156,30768,80.83,0.6,-0.3
30-03-11,17.4,18.35,17.35,17.95,17.83354035,59576,243,1062451,44379,74.49,1,0.55
29-03-11,17.7,17.8,17.1,17.35,17.50344835,294924,265,5162187,279430,94.75,0.7,-0.35
28-03-11,17.6,18,17.25,17.4,17.47013753,209343,330,3657251,171043,81.7,0.75,-0.2
25-03-11,18.15,18.15,17.6,17.7,17.87897371,62945,193,1125392,53315,84.7,0.55,-0.45
24-03-11,17.9,18.15,17.55,17.65,17.84952654,52275,187,933084,40595,77.66,0.6,-0.25
23-03-11,18.5,18.5,17.75,17.85,18.03987811,38066,154,686706,30179,79.28,0.75,-0.65
22-03-11,18.6,18.7,18.05,18.15,18.39648915,49048,184,902311,34241,69.81,0.65,-0.45
21-03-11,18.8,18.8,18.05,18.4,18.3340742,51291,187,940373,38096,74.27,0.75,-0.4
18-03-11,18.7,18.7,17.9,18.45,18.27803218,54375,200,993868,40382,74.27,0.8,-0.25
17-03-11,18.8,18.9,17.65,18.35,18.27633981,54784,188,1001251,28727,52.44,1.25,-0.45
16-03-11,18.25,18.5,18,18.25,18.24153188,48594,134,886429,37713,77.61,0.5,0
15-03-11,18.05,18.5,17.4,18.4,18.09184509,72067,256,1303825,52268,72.53,1.1,0.35
14-03-11,19.2,19.7,17.95,18.15,18.42646114,76293,256,1405810,49901,65.41,1.75,-1.05
11-03-11,17.8,20.95,17.75,18.7,19.35509146,478105,994,9253766,160604,33.59,3.2,0.9
10-03-11,18.05,18.25,17.7,17.85,17.94479379,21628,118,388110,16023,74.08,0.55,-0.2
09-03-11,18.15,18.5,18,18.15,18.21216442,37174,151,677019,26033,70.03,0.5,0
08-03-11,18,18.15,17.75,17.95,17.9984661,69105,181,1243784,57348,82.99,0.4,-0.05
07-03-11,18.6,18.6,17.5,17.6,17.83408407,53503,171,954177,39659,74.12,1.1,-1
04-03-11,18.8,18.8,18,18.35,18.28211029,116022,247,2121127,78432,67.6,0.8,-0.45
03-03-11,19.35,19.35,17.15,18.55,18.67579602,55024,226,1027617,35337,64.22,2.2,-0.8
01-03-11,20,20,18.25,19,18.69321555,97355,321,1819878,58278,59.86,1.75,-1
28-02-11,19.4,19.8,18,18.4,19.00404398,55391,187,1052653,40656,73.4,1.8,-1
25-02-11,20,20.25,19.25,19.4,19.82069744,78889,181,1563635,62066,78.68,1,-0.6
24-02-11,20.15,20.5,19.7,19.9,20.11967553,81487,218,1639492,66662,81.81,0.8,-0.25
23-02-11,19.1,20.9,19.1,19.95,20.2793546,76666,310,1554737,50402,65.74,1.8,0.85
22-02-11,19.85,20,19.2,19.4,19.6830169,26809,102,527682,18044,67.31,0.8,-0.45
21-02-11,19.5,20.2,19.3,19.9,19.91796806,56222,176,1119828,35425,63.01,0.9,0.4
18-02-11,19.75,20.5,19,19.1,19.96996961,65800,235,1314024,44165,67.12,1.5,-0.65
17-02-11,19,20.7,18.85,19.95,19.5461505,87388,272,1708099,67302,77.02,1.85,0.95
16-02-11,19.25,19.6,18.8,18.9,18.98048056,37706,126,715678,25539,67.73,0.8,-0.35
15-02-11,19.9,19.9,18.5,19.5,19.09138032,46301,154,883950,27760,59.96,1.4,-0.4
14-02-11,17.35,19.05,16.2,19.05,18.24380452,99387,446,1813197,58741,59.1,2.85,1.7
11-02-11,16.95,17.85,16.55,17.35,17.03671598,35761,170,609250,26077,72.92,1.3,0.4
10-02-11,17.5,17.5,15.35,16.85,16.24089599,90894,301,1476200,65264,71.8,2.15,-0.65
09-02-11,17.3,17.75,16.6,17,17.34508692,87491,234,1517539,66367,75.86,1.15,-0.3
08-02-11,18.5,18.6,17.5,17.65,17.83931471,56035,210,999626,42924,76.6,1.1,-0.85
07-02-11,18.75,18.85,18.25,18.6,18.63050602,28991,150,540117,20421,70.44,0.6,-0.15
04-02-11,19,19,18.15,18.3,18.65996871,28765,129,536754,20995,72.99,0.85,-0.7
03-02-11,18.8,19.15,18.5,18.9,18.90167613,45462,156,859308,41673,91.67,0.65,0.1
02-02-11,18.95,19.1,18.5,18.75,18.87560609,59191,210,1117266,43845,74.07,0.6,-0.2
01-02-11,19.3,19.3,18.25,18.6,18.89754871,39775,156,751650,30158,75.82,1.05,-0.7
31-01-11,18.9,19.35,18.1,18.85,18.87155342,84214,270,1589249,61165,72.63,1.25,-0.05
28-01-11,20,20,18.5,19.1,19.13718824,105009,356,2009577,80422,76.59,1.5,-0.9
27-01-11,20.25,20.6,19.8,20,20.16403226,52953,190,1067746,43656,82.44,0.8,-0.25
25-01-11,21.15,21.15,20.2,20.25,20.58263401,47069,196,968804,37994,80.72,0.95,-0.9
24-01-11,21.05,21.25,20.65,20.75,20.83769395,41699,167,868911,30212,72.45,0.6,-0.3
21-01-11,20.9,21.25,20.8,20.95,20.98959368,54390,164,1141624,41097,75.56,0.45,0.05
20-01-11,21.3,21.5,20.8,21.05,21.15870443,42576,138,900853,34841,81.83,0.7,-0.25
19-01-11,21.2,21.75,21.2,21.3,21.47350637,34329,128,737164,18528,53.97,0.55,0.1
18-01-11,21.55,21.75,21.05,21.15,21.48049505,61651,214,1324294,46664,75.69,0.7,-0.4
17-01-11,21.8,21.8,21,21.05,21.19132329,71617,232,1517659,55483,77.47,0.8,-0.75
14-01-11,22.5,22.5,21.7,21.75,21.93923101,83694,251,1836182,44375,53.02,0.8,-0.75
