Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
17-11-21,22.85,23.55,22.1,22.65,23.17,130757,306,3030149,98243,75.13,1.45,-0.2
16-11-21,22.1,23.15,21.55,22.45,22.49,62595,249,1407462,47656,76.13,1.6,0.35
15-11-21,22.7,22.7,21.45,22.05,21.66,64781,224,1403471,51391,79.33,1.25,-0.65
12-11-21,24.4,24.65,22.55,22.55,23.09,113879,469,2628902,88794,77.97,2.1,-1.85
11-11-21,23,23.7,23,23.7,23.63,169180,426,3997721,140005,82.76,0.7,0.7
10-11-21,22.15,22.6,22,22.6,22.44,105423,247,2365275,96839,91.86,0.6,0.45
09-11-21,21.15,21.55,20.75,21.55,21.22,95557,387,2027642,85760,89.75,0.8,0.4
08-11-21,20.5,21,19.85,20.55,20.43,46262,279,945082,35863,77.52,1.15,0.05
04-11-21,19.75,20.6,19.75,20.45,20.39,66668,214,1359040,66668,100,0.85,0.7
03-11-21,20.5,20.5,19.5,19.65,19.85,103972,320,2063858,87205,83.87,1,-0.85
02-11-21,20.65,20.95,20.2,20.35,20.44,85332,472,1744435,59749,70.02,0.75,-0.3
01-11-21,20.4,20.4,19.85,20.3,20.26,40186,206,813987,38307,95.32,0.55,-0.1
29-10-21,21,21,20,20.25,20.21,136479,527,2757782,108688,79.64,1,-0.75
28-10-21,21.5,21.5,20.45,20.8,20.69,213131,348,4409864,146281,68.63,1.05,-0.7
27-10-21,22.85,22.85,21.4,21.5,21.9,159403,287,3490323,137331,86.15,1.45,-1.35
26-10-21,22,22.75,21.35,22.4,22.06,169805,397,3745892,149351,87.95,1.4,0.4
25-10-21,22.8,22.8,22.35,22.35,22.49,62780,164,1411997,47824,76.18,0.45,-0.45
22-10-21,24.25,24.25,23.2,23.5,23.64,64614,268,1527684,56661,87.69,1.05,-0.75
21-10-21,24.65,25.75,24.4,24.4,24.5,76610,267,1877052,61027,79.66,1.35,-0.25
20-10-21,26.95,26.95,25.65,25.65,25.78,172907,401,4457417,121142,70.06,1.3,-1.3
19-10-21,29,29.4,27,27,27.48,217346,586,5973208,168098,77.34,2.4,-2
18-10-21,28.3,28.4,27,28.4,28.25,274100,552,7744183,252737,92.21,1.4,0.1
14-10-21,24.4,25.85,22.3,25.85,24.99,553081,877,13823150,456698,82.57,3.55,1.45
13-10-21,21.65,23.5,20.95,23.5,23.28,584906,465,13616719,514082,87.89,2.55,1.85
12-10-21,21.15,21.8,20.6,21.4,21.34,63936,256,1364098,52170,81.6,1.2,0.25
11-10-21,21.75,22,20.8,21.05,21.37,119305,406,2549658,99774,83.63,1.2,-0.7
08-10-21,21.9,22.5,21.15,21.45,21.77,61487,296,1338659,51340,83.5,1.35,-0.45
07-10-21,23.05,23.85,21.05,21.8,21.98,237478,662,5220202,167509,70.54,2.8,-1.25
06-10-21,22.6,22.6,21.6,22.6,22.55,445212,511,10039953,302914,68.04,1,0
05-10-21,20.9,21.55,20.8,21.55,21.46,74341,131,1595308,74341,100,0.75,0.65
04-10-21,21.4,21.4,20.45,20.55,20.8,73519,270,1528917,68348,92.97,0.95,-0.85
01-10-21,21.9,22.25,20.45,21.05,21.04,156531,384,3292978,116176,74.22,1.8,-0.85
30-09-21,22,22.4,21.1,21.5,21.63,102001,285,2205908,79555,77.99,1.3,-0.5
29-09-21,22.45,22.45,21,21.85,22.14,205194,518,4543169,167738,81.75,1.45,-0.6
28-09-21,21.4,21.4,21.4,21.4,21.4,39094,133,836611,37992,97.18,0,0
27-09-21,20.4,20.4,20.4,20.4,20.4,148072,210,3020668,147962,99.93,0,0
24-09-21,19.95,19.95,19.25,19.45,19.51,79740,217,1555710,74116,92.95,0.7,-0.5
23-09-21,19.95,20.1,19.3,19.6,19.8,86471,269,1712346,77171,89.24,0.8,-0.35
22-09-21,19.75,20,18.8,19.7,19.41,297889,400,5781339,263532,88.47,1.2,-0.05
21-09-21,19.7,19.7,19,19.45,19.4,65744,226,1275127,51453,78.26,0.7,-0.25
20-09-21,19.45,19.9,19.2,19.35,19.56,66293,216,1296485,54652,82.44,0.7,-0.1
17-09-21,20.2,20.35,19.05,19.35,19.43,117797,319,2288557,72525,61.57,1.3,-0.85
16-09-21,19.5,20.4,19.5,20.05,20.08,69520,243,1395634,59124,85.05,0.9,0.55
15-09-21,19.95,20.2,19.4,19.85,19.81,72234,209,1431109,70387,97.44,0.8,-0.1
14-09-21,20,20.6,19.8,19.95,20.07,61958,245,1243206,51905,83.77,0.8,-0.05
13-09-21,20.45,20.75,20,20.05,20.29,59375,241,1204882,51190,86.21,0.75,-0.4
09-09-21,19.35,20.1,19,20.05,19.79,69652,214,1378218,57409,82.42,1.1,0.7
08-09-21,19.9,20.25,19.6,19.7,19.89,46675,152,928314,44448,95.23,0.65,-0.2
07-09-21,19.75,19.9,19.5,19.55,19.73,35743,163,705217,29075,81.34,0.4,-0.2
06-09-21,19.4,19.95,19,19.65,19.68,77427,301,1523889,68900,88.99,0.95,0.25
03-09-21,19.25,19.75,18.75,19.1,19.21,76033,305,1460841,58362,76.76,1,-0.15
02-09-21,18.25,18.95,17.75,18.95,18.7,88022,195,1646417,79857,90.72,1.2,0.7
01-09-21,17.75,18.3,17.75,18.05,18.01,26620,135,479482,23986,90.11,0.55,0.3
31-08-21,18.35,18.6,17.9,18.15,18.12,57635,197,1044341,55502,96.3,0.7,-0.2
30-08-21,18.25,18.6,17.5,18.3,18.18,36294,215,659762,30893,85.12,1.1,0.05
27-08-21,19.35,19.35,17.7,18.1,17.95,107198,352,1924073,73315,68.39,1.65,-1.25
26-08-21,18.6,18.6,17.8,18.6,18.49,39299,192,726468,37105,94.42,0.8,0
25-08-21,17.45,17.8,16.8,17.75,17.64,33650,174,593718,32660,97.06,1,0.3
24-08-21,17.5,17.5,16.75,17.15,17.04,43506,203,741188,31776,73.04,0.75,-0.35
23-08-21,17.25,17.75,17,17.25,17.18,106501,318,1829387,76340,71.68,0.75,0
20-08-21,18.7,18.7,17.8,17.85,17.99,111026,283,1997078,89582,80.69,0.9,-0.85
18-08-21,19.95,20,18.65,18.7,18.84,93874,299,1768632,78976,84.13,1.35,-1.25
17-08-21,19.5,19.9,19.2,19.6,19.45,56631,150,1101386,49899,88.11,0.7,0.1
16-08-21,19.4,19.9,19.4,19.6,19.42,128333,207,2492164,118634,92.44,0.5,0.2
13-08-21,20.4,20.45,19.9,20.4,20.22,70613,171,1427860,54347,76.96,0.55,0
12-08-21,20.1,20.45,20.05,20.4,20.34,60023,184,1220629,48335,80.53,0.4,0.3
11-08-21,19.95,20.4,19.25,20.05,20.03,143765,246,2879484,128482,89.37,1.15,0.1
10-08-21,20.9,20.9,19.75,19.75,20.01,93374,311,1868454,77190,82.67,1.15,-1.15
09-08-21,22.3,22.3,20.75,20.75,21.02,112986,325,2374547,81612,72.23,1.55,-1.55
06-08-21,23,23.2,21.25,21.8,22.66,484072,758,10966922,341094,70.46,1.95,-1.2
05-08-21,22,22.1,21.35,22.1,21.95,256711,411,5634639,212862,82.92,0.75,0.1
04-08-21,20.6,21.15,20.15,21.05,20.97,485748,691,10184660,345568,71.14,1,0.45
03-08-21,20.2,20.6,18.95,20.15,19.72,324455,614,6397717,279721,86.21,1.65,-0.05
